time,proximity sensor 0,proximity sensor 7,
0.032000,3766.420000,3774.560000,
0.064000,3737.420000,3769.560000,
0.096000,3666.420000,3691.560000,
0.128000,2461.420000,2108.560000,
0.160000,1861.420000,1808.560000,
0.192000,1260.420000,1052.560000,
0.224000,792.420000,727.560000,
0.256000,619.420000,552.560000,
0.288000,466.420000,387.560000,
0.320000,273.420000,322.560000,
0.352000,270.420000,253.560000,
0.384000,177.420000,213.560000,
0.416000,201.420000,156.560000,
0.448000,136.420000,151.560000,
0.480000,80.420000,115.560000,
0.512000,75.420000,101.560000,
0.544000,80.420000,55.560000,
0.576000,89.420000,45.560000,
0.608000,54.420000,47.560000,
0.640000,56.420000,57.560000,
0.672000,30.420000,51.560000,
0.704000,19.420000,23.560000,
0.736000,36.420000,25.560000,
0.768000,27.420000,20.560000,
0.800000,-10.580000,29.560000,
0.832000,-13.580000,37.560000,
0.864000,11.420000,21.560000,
0.896000,6.420000,22.560000,
0.928000,0.420000,4.560000,
0.960000,28.420000,6.560000,
0.992000,-6.580000,17.560000,
1.024000,-1.580000,11.560000,
1.056000,-0.580000,15.560000,
1.088000,11.420000,17.560000,
1.120000,15.420000,4.560000,
1.152000,6.420000,-0.440000,
1.184000,-7.580000,8.560000,
1.216000,1.420000,11.560000,
1.248000,2.420000,-6.440000,
1.280000,9.420000,-2.440000,
1.312000,-12.580000,0.560000,
1.344000,-6.580000,12.560000,
1.376000,-0.580000,3.560000,
1.408000,-17.580000,3.560000,
1.440000,4.420000,0.560000,
1.472000,16.420000,14.560000,
1.504000,-14.580000,16.560000,
1.536000,16.420000,9.560000,
1.568000,7.420000,-11.440000,
1.600000,2.420000,-1.440000,
1.632000,-43.580000,-0.440000,
1.664000,-14.580000,6.560000,
1.696000,-2.580000,-4.440000,
1.728000,-3.580000,0.560000,
1.760000,-14.580000,-12.440000,
1.792000,-23.580000,-1.440000,
1.824000,-31.580000,-2.440000,
1.856000,24.420000,1.560000,
1.888000,-16.580000,0.560000,
1.920000,-19.580000,-10.440000,
1.952000,-0.580000,-3.440000,
1.984000,-14.580000,2.560000,
2.016000,-16.580000,14.560000,
2.048000,-21.580000,2.560000,
2.080000,-21.580000,-21.440000,
2.112000,-3.580000,-7.440000,
2.144000,-1.580000,-19.440000,
2.176000,-15.580000,-11.440000,
2.208000,-14.580000,-7.440000,
2.240000,-10.580000,-3.440000,
2.272000,-3.580000,3.560000,
2.304000,-2.580000,-13.440000,
2.336000,-15.580000,2.560000,
2.368000,6.420000,3.560000,
2.400000,14.420000,0.560000,
2.432000,-10.580000,-9.440000,
2.464000,16.420000,-13.440000,
2.496000,-19.580000,6.560000,
2.528000,-6.580000,-0.440000,
2.560000,-22.580000,2.560000,
2.592000,-14.580000,-3.440000,
2.624000,-16.580000,-6.440000,
2.656000,-1.580000,-11.440000,
2.688000,19.420000,-14.440000,
2.720000,-4.580000,-0.440000,
2.752000,-24.580000,0.560000,
2.784000,13.420000,-6.440000,
2.816000,-8.580000,-7.440000,
2.848000,-21.580000,-14.440000,
2.880000,-11.580000,-5.440000,
2.912000,-12.580000,3.560000,
2.944000,-24.580000,1.560000,
2.976000,18.420000,-17.440000,
3.008000,-5.580000,-14.440000,
