time,ground sensor 0,ground sensor 1,ground sensor 2,
0.032000,762.763105,919.873864,764.716653,
0.064000,762.763105,919.873864,764.716653,
0.096000,959.000000,951.000000,956.000000,
0.128000,940.000000,827.000000,944.000000,
0.160000,953.000000,942.000000,953.000000,
0.192000,952.000000,927.000000,952.000000,
0.224000,957.000000,950.000000,957.000000,
0.256000,957.000000,950.000000,699.000000,
0.288000,958.000000,951.000000,330.000000,
0.320000,959.000000,243.000000,323.000000,
0.352000,766.000000,238.000000,324.000000,
0.384000,298.000000,240.000000,384.000000,
0.416000,290.000000,239.000000,958.000000,
0.448000,286.000000,913.000000,958.000000,
0.480000,947.000000,956.000000,960.000000,
0.512000,960.000000,954.000000,958.000000,
0.544000,959.000000,952.000000,957.000000,
0.576000,957.000000,949.000000,955.000000,
0.608000,955.000000,945.000000,954.000000,
0.640000,951.000000,908.000000,949.000000,
0.672000,952.000000,922.000000,950.000000,
0.704000,950.000000,900.000000,949.000000,
0.736000,934.000000,794.000000,943.000000,
0.768000,925.000000,812.000000,941.000000,
0.800000,942.000000,841.000000,946.000000,
0.832000,943.000000,853.000000,945.000000,
0.864000,935.000000,822.000000,943.000000,
0.896000,942.000000,838.000000,945.000000,
0.928000,949.000000,898.000000,950.000000,
0.960000,952.000000,931.000000,952.000000,
0.992000,955.000000,947.000000,955.000000,
1.024000,959.000000,952.000000,957.000000,
1.056000,961.000000,956.000000,960.000000,
1.088000,960.000000,953.000000,958.000000,
1.120000,961.000000,955.000000,959.000000,
1.152000,962.000000,956.000000,959.000000,
1.184000,961.000000,956.000000,960.000000,
1.216000,961.000000,956.000000,960.000000,
1.248000,961.000000,956.000000,960.000000,
1.280000,962.000000,960.000000,962.000000,
1.312000,960.000000,955.000000,959.000000,
1.344000,964.000000,959.000000,961.000000,
1.376000,960.000000,953.000000,958.000000,
1.408000,958.000000,950.000000,957.000000,
1.440000,956.000000,947.000000,954.000000,
1.472000,955.000000,942.000000,953.000000,
1.504000,952.000000,935.000000,952.000000,
1.536000,948.000000,878.000000,948.000000,
1.568000,946.000000,850.000000,945.000000,
1.600000,941.000000,832.000000,940.000000,
